wj|(Admirativpartikel)|Wb I S 270|(Admirativpartikel)
wxd|Nachsicht|Wb I S 356|Nachsicht
wxd|Hunger leiden|Wb I S 356|Hunger leiden
wxdt|seelisches Leid|Wb I S 356|seelisches Leid
wxdj|Leidende|Wb I S 356|Leidende
wxdw|Entz&uuml;ndungen (med)|Wb I S 356|Entzuendungen (med)
ws|mangeln|Wb I S 358|mangeln
ws|H&ouml;he (math)|Wb I S 359|Hoehe (math)
ws|S&auml;ger|RdE 29 (1977) S 7; Meeks: AL 771027|Saeger
wst|S&auml;gemehl|Wb I S 358|Saegemehl
ws-jr|Gott Osiris|Wb I S 359|Gott Osiris
wsj|s&auml;gen|Wb I S 358|saegen
wsj|Fenster|Wb I S 359|Fenster
wsj|sehr|Wb I S 359|sehr
wsj|[Titel]|Wb I S 359|[Titel]
wsf|(Verbum als Vergehen gegen Herrn)|Wb I S 357|(Verbum als Vergehen gegen Herrn)
wsf|faul sein|Wb I S 357|faul sein
wsf|Faulsein|Wb I S 357|Faulsein
wsf|[Bezeichnung der Fischer]|Wb I S 357|[Bezeichnung der Fischer]
wsfw|Fauler|Wb I S 357|Fauler
wsmw|[K&ouml;rperteil des Menschen]|Wb I S 357|[Koerperteil des Menschen]
wsn|begatten, erzeugen|Wb I S 359|begatten, erzeugen
wsnj|Begatter|Wb I S 359|Begatter
wsr|stark|Wb I S 360|stark
wsr|Macht, Reichtum|Wb I S 362|Macht, Reichtum
wsr|M&auml;chtiger|Wb I S 363|Maechtiger
wsr|Ruder|Wb I S 364|Ruder
wsr|[K&ouml;rperteil des Osiris, vom Krokodil gefressen]|Wb I S 366|[Koerperteil des Osiris, vom Krokodil gefressen]
wsr|{wsr}-Szepter|Meeks: AL 781087|{wsr}-Szepter
wsrt|Hals oder Nacken|Wb I S 360|Hals oder Nacken
wsrt|[Pfahl im Jenseits]|Wb I S 360|[Pfahl im Jenseits]
wsrt|[G&ouml;ttin]|Wb I S 363|[Goettin]
wsrt|[Bezeichnung des Feuers]|Wb I S 363|[Bezeichnung des Feuers]
wsrt|[Bezeichnung des Auges]|Wb I S 363|[Bezeichnung des Auges]
wsrt|Strick (zur Handhabung des Steuers)|Wb I S 364|Strick (zur Handhabung des Steuers)
wsrt|reiche Frau|Meeks: AL 781094|reiche Frau
wsr-jb|tapfer|Wb I S 361|tapfer
wsr-HAt|[Beiname des Ihi]|Wb I S 362|[Beiname des Ihi]
wsr-HAt|[Beiname des Amon]|Wb I S 362|[Beiname des Amon]
wsr-HAt|[Schiff des Amon]|Wb I S 362|[Schiff des Amon]
wsrwt|Macht|Wb I S 363|Macht
wsH|abschneiden, tilgen|Wb I S 364|abschneiden, tilgen
wsH|verbrennen (den B&ouml;sen)|Wb I S 364|verbrennen (den Boesen)
wsH|Feuer|Wb I S 364|Feuer
wsx|weit sein, weit|Wb I S 364|weit sein, weit
wsx|Land durchziehen|Wb I S 365|Land durchziehen
wsx|Breite, Weite|Wb I S 365|Breite, Weite
wsx|Halskragen|Wb I S 365|Halskragen
wsx|Lastschiff|Wb I S 366|Lastschiff
wsxt|Breite (als Dimension)|Wb I S 365|Breite (als Dimension)
wsxt|Lastschiff|Wb I S 366|Lastschiff
wsxt|Halle, Hof|Wb I S 366|Halle, Hof
wsxt|[Bezeichnung des Himmels]|Wb I S 367|[Bezeichnung des Himmels]
wsxtjj|[Priester, der f&uuml;r Opfer im Vorhof zust&auml;ndig ist]|Meeks: AL 771045|[Priester, der fuer Opfer im Vorhof zustaendig ist]
wsx-n-Saw|[Halskragen]|Wb IV S 421|[Halskragen]
wsx-nmtt|anma&szlig;end sein|Wb I S 364|anmassend sein
wsxt-HwAt|Beiwort der Isis|Wb III S 51|Beiwort der Isis
wsx-st|angesehen|Wb IV S 4|angesehen
wsxt|Schale|Meeks: AL 781103|Schale
wsS|harnen|Wb I S 357|harnen
wsS|aussterben|Wb I S 358|aussterben
wsSt|Harn|Wb I S 358|Harn
wstj|amtliches Schreiben|Wb I S 367|amtliches Schreiben
wstn|Erla&szlig;|Wb I S 367|Erlass
wstn|[Gew&auml;sser]|Wb I S 367|[Gewaesser]
wstt|[Name eines {pHw}]|Meeks: AL 771047; Meeks: AL 790764|[Name eines {pHw}]
wsT|verfallen, verw&uuml;stet|Wb I S 358|verfallen, verwuestet
wsTn|frei, ungehindert schreiten|Wb I S 367|frei, ungehindert schreiten
wS|leer, zerst&ouml;rt sein|Wb I S 368|leer, zerstoert sein
wS|(vom Herzen)|Wb I S 368|(vom Herzen)
wS|sich durchdr&auml;ngen (durch Personen)|Wb I S 368|sich durchdraengen (durch Personen)
wS|(freier) Platz; Bresche|Meeks: AL 771050; Meeks: AL 781107; Meeks: AL 790767|(freier) Platz; Bresche
wSt|Knochensplitter|Wb I S 368|Knochensplitter
wSt|[Dekan]|Wb I S 368|[Dekan]
wSt|[Katzenartiger]|Meeks: AL 781109|[Katzenartiger]
wSA|m&auml;sten|Wb I S 369|maesten
wSA|M&auml;ster|Wb I S 369|Maester
wSA|aussch&uuml;tten|Wb I S 369|ausschuetten
wSA|[vom Behandeln des kranken Zahnes]|Wb I S 369|[vom Behandeln des kranken Zahnes]
wSA|[Fl&uuml;ssigkeit]|RdE 29 (1977) S 7; Meeks: AL 771055|[Fluessigkeit]
wSAt|[Gefl&uuml;gel]|Wb I S 369|[Gefluegel]
wSA-n-rnpt|Rest des Jahres|Wb I S 369|Rest des Jahres
wSA-Hswt|Beifall spenden|Wb I S 369|Beifall spenden
wSA-Hknw|preisen|Wb I S 369|preisen
wSAAw|Masttiere|Wb I S 369|Masttiere
wS(A)jj|[Gef&auml;&szlig;]|Meeks: AL 771056; Meeks: AL 781111|[Gefaess]
wSAw|Verleumdungen|Wb I S 370|Verleumdungen
wSAw|Nacht|Wb I S 370|Nacht
wSAw|Kleie(?)|Cerny: CED S 40; Meeks: AL 771054|Kleie(?)
wSj|zu Kr&uuml;meln / St&uuml;ckchen machen|Meeks: AL 781108; Meeks: AL 790768|zu Kruemeln / Stueckchen machen
wS(jw)|[Gef&auml;&szlig;, Metallobjekt](?)]|RdE 30 (1978) S 13|[Gefaess, Metallobjekt](?)]
wSa|kauen|Wb I S 370|kauen
wSa|Gefl&uuml;gel &lt;&lt;ob {wSn} zu lesen?&gt;&gt;|Meeks: AL 790770|Gefluegel <<ob {wSn} zu lesen?>>
wSat|[juckende K&ouml;rperstelle]|Wb I S 370|[juckende Koerperstelle]
wSaw|Jucken (als Krankheit)|Wb I S 370|Jucken (als Krankheit)
wSwS|zerschlagen, aufbrechen|Wb I S 370|zerschlagen, aufbrechen
wSb|sich n&auml;hren von etwas|Wb I S 371|sich naehren von etwas
wSb|Nahrung|Wb I S 371|Nahrung
wSb|antworten|Wb I S 371|antworten
wSb|Antwort|Wb I S 372|Antwort
wSb|[Bezeichnung f&uuml;r den Kampfstier]|Wb I S 373|[Bezeichnung fuer den Kampfstier]
wSb|[27 Tag des Mondmonats]|Wb I S 373|[27 Tag des Mondmonats]
wSb|(Verbum)|Wb I S 373|(Verbum)
wSb|[Goldgef&auml;&szlig;]|Wb I S 373|[Goldgefaess]
wSb|Darstellung, Bild|RdE 29 (1977) S 7; Meeks: AL 771066|Darstellung, Bild
wSbt|Klageweib|Wb I S 373|Klageweib
wSbt|[Isis]|Wb I S 373|[Isis]
wSbt|[offizinell Verwendetes]|Wb I S 373|[offizinell Verwendetes]
wSbtj|Totenfigur|Wb I S 373|Totenfigur
wSb-jAd|eintreten f&uuml;r jemanden|Wb I S 35|eintreten fuer jemanden
wSbjt|Antwort|Wb I S 372|Antwort
wSbjt|kleine Perlen|Wb I S 373|kleine Perlen
wSbjjt|Darlehen|Meeks: AL 771065|Darlehen
wSb(j)t|(aggressive) Kuh|Meeks: AL 781117|(aggressive) Kuh
wSbw|Anwalt|Wb I S 372|Anwalt
wSbw|[Substantiv]|Wb I S 372|[Substantiv]
wSbt||Kaczmarczyk: In: JEA 77 (1991) S 195|
wSft|[Katzenartiger]|Meeks: AL 781118|[Katzenartiger]
wSm|anr&uuml;hren (Brei)|Wb I S 373|anruehren (Brei)
wSm|Schlund|Wb I S 373|Schlund
wSm|(Verbum vom Herzen)|Wb I S 373|(Verbum vom Herzen)
wSm|schlachten (Gazellen u &auml;)|Wb I S 373|schlachten (Gazellen u ae)
wSm|Schlachtmesser|Wb I S 373|Schlachtmesser
wSm|[Krug]|Wb I S 374|[Krug]
wSm|Granne der &Auml;hre|Wb I S 374|Granne der Aehre
wSm|Weihrauch|Meeks: AL 781119|Weihrauch
wSn|umdrehen (V&ouml;geln den Hals)|Wb I S 374|umdrehen (Voegeln den Hals)
wSn|V&ouml;gel (als Beute)|Wb I S 374|Voegel (als Beute)
wSr|trocknen, verdorren|Wb I S 374|trocknen, verdorren
wSr|D&uuml;rres, Trockenes|Wb I S 375|Duerres, Trockenes
wSr|[Gew&auml;sser bei Dendera]|Wb I S 375|[Gewaesser bei Dendera]
wSk|[Edelstein]|RdE 29 (1977) S 7; Meeks: AL 771074|[Edelstein]
wStt|[Augenkrankheit]|Wb I S 375|[Augenkrankheit]
wSd|(Verbum vom kleinen Finger)|Wb I S 375|(Verbum vom kleinen Finger)
wSd|anreden|Wb I S 375|anreden
wSd|fortschicken|Meeks: AL 790777|fortschicken
wg|Brett, Planke,|Wb I S 376|Brett, Planke,
wg|unangenehm machen|RdE 29 (1977) S 7; Meeks: AL 771076|unangenehm machen
wgA|(= {wg}) Brett, Planke|Wb I S 376|(= {wg}) Brett, Planke
wgA|[Getreide]|Wb I S 376|[Getreide]
wgA|[Gew&auml;sser]|Wb I S 376|[Gewaesser]
wgA|Altersschw&auml;che|Wb I S 376|Altersschwaeche
wgAt|Sch&auml;dliches|Wb I S 376|Schaedliches
wgj|kauen|Wb I S 376|kauen
wgj|(= {wAg}) [Fest]|Wb I S 376|(= {wAg}) [Fest]
wgjt|Unterkiefer|Wb I S 376|Unterkiefer
wgjt|Gekautes|Wb I S 376|Gekautes
wgjjt|Rippe des Schiffs(?)|Meeks: AL 781126|Rippe des Schiffs(?)
wgwt|Unterkiefer|Wb I S 376|Unterkiefer
wgb|schreien|Meeks: AL 781127|schreien
wgp|zersto&szlig;en|Wb I S 377|zerstossen
wgm|mahlen (Korn)|Wb I S 377|mahlen (Korn)
wgm|Pulver|Wb I S 377|Pulver
wgr|[Gew&auml;sser im Gau von Diospolis Parva]|Wb I S 377|[Gewaesser im Gau von Diospolis Parva]
wgs|ausnehmen (Tiere)|Wb I S 377|ausnehmen (Tiere)
wgs|[V&ouml;gel]|Wb I S 377|[Voegel]
wgs|Treidelseil|RdE 30 (1978) S 13; Meeks: AL 771082; Meeks: AL 781128|Treidelseil
wgsw|Schlachtung (von Tieren)|Wb I S 377|Schlachtung (von Tieren)
wgg|Mangel, Hungersnot|Wb I S 377|Mangel, Hungersnot
wt|Zunge, Mund|Wb I S 377|Zunge, Mund
wt|gro&szlig;, alt sein|Wb I S 377|gross, alt sein
wt|[b&ouml;se Handlung gegen Osiris]|Wb I S 378|[boese Handlung gegen Osiris]
wt|einwickeln, umwickeln|Wb I S 378|einwickeln, umwickeln
wt|Mumienbinde|Wb I S 379|Mumienbinde
wt|innerster Sarg|Wb I S 379|innerster Sarg
wt|Verbinder|Wb I S 379|Verbinder
wt|Balsamierer|Wb I S 379|Balsamierer
wt|[Bezeichnung f&uuml;r Diener]|Wb I S 380|[Bezeichnung fuer Diener]
wt|(= {wHAt}) Kessel|Wb I S 380|(= {wHAt}) Kessel
wt|(= {wHAt}) Oase|Wb I S 380|(= {wHAt}) Oase
wt|Einbalsamierer, Mumifizierer|Meeks: AL 781135|Einbalsamierer, Mumifizierer
wt|junger Wolf|Meeks: AL 790783|junger Wolf
wtt|Schlange|Wb I S 378|Schlange
wt-jnpw|[Totenpriester]|Wb I S 379|[Totenpriester]
wtj|[b&ouml;ses Wesen]|Wb I S 378|[boeses Wesen]
wtjt|[Teil einer Pflanze, offizinell verwendet]|Wb I S 380|[Teil einer Pflanze, offizinell verwendet]
wtw|&auml;ltester Sohn|Wb I S 377|aeltester Sohn
wtwtj|&auml;ltester Sohn|Wb I S 378|aeltester Sohn
wtwt|Schn&uuml;ren, Schn&uuml;rung|RdE 29 (1977) S 7; Meeks: AL 771089|Schnueren, Schnuerung
wtmt|(Verbum)|Wb I S 380|(Verbum)
wtmtm|schlaff werden|Wb I S 380|schlaff werden
wtn|durchbohren|Wb I S 380|durchbohren
*wtn|Erdferkel &lt;&lt;ist ghost-word&gt;&gt;|Meeks: AL 771090; Meeks: AL 781136|Erdferkel <<ist ghost-word>>
wtnw|[Wesen am Himmel]|Wb I S 381|[Wesen am Himmel]
wtnt|[Land; in Verbindung mit Gew&uuml;rzen]|Meeks: AL 790788|[Land; in Verbindung mit Gewuerzen]
wtr|Blut|Wb I S 381|Blut
wtrj|Farben|Wb I S 381|Farben
wtx|fliehen|Wb I S 381|fliehen
wtxw|Fl&uuml;chtling|Wb I S 381|Fluechtling
wtS|Hautst&uuml;ck|RdE 29 (1977) S 7; Meeks: AL 771095|Hautstueck
wtSj|[wei&szlig;er Stein bei Elephantine]|Wb I S 381|[weisser Stein bei Elephantine]
wtT|[Vogel (Bezeichnung des Osiris)]|Wb I S 381|[Vogel (Bezeichnung des Osiris)]
wtT|zeugen|Wb I S 381|zeugen
wtT|Same|Wb I S 382|Same
wtT|[Symbol, das K&ouml;nig spendet]|Wb I S 382|[Symbol, das Koenig spendet]
wtTw|Erzeuger, Vater|Wb I S 382|Erzeuger, Vater
wtTw|Gezeugter, Sohn|Wb I S 382|Gezeugter, Sohn
wTs|hochheben, tragen|Wb I S 382|hochheben, tragen
wTs|aussprechen, verherrlichen, anzeigen|Wb I S 384|aussprechen, verherrlichen, anzeigen
wTs|Tragsessel|Wb I S 384|Tragsessel
wTst|Thron|Wb I S 384|Thron
wTst|[Edfu]|Wb I S 384|[Edfu]
wTs|Tr&auml;ger|Meeks: AL 771099|Traeger
wTs-jb|frohlocken|Wb I S 383|frohlocken
wTs-wr|[Teil der Leiter]|Wb I S 384|[Teil der Leiter]
wTs-mAat|Beiwort des Ptah|Wb I S 383|Beiwort des Ptah
wTs-nfrw|preisen|Wb I S 383|preisen
wTs-nfrw|[Bezeichnung f&uuml;r heiliges Schiff]|Wb I S 383|[Bezeichnung fuer heiliges Schiff]
wTs-ra|[Titel eines Priesters]|Wb I S 384|[Titel eines Priesters]
wTs-HAt|[heiliges Schiff]|Wb I S 384|[heiliges Schiff]
wTsw|Verleumder|Wb I S 384|Verleumder
wTsw|Tragstangen|Wb I S 384|Tragstangen
wTst-gb|Staub|Meeks: AL 781143|Staub
wdt|[krankhafte Erscheinung]|Wb I S 388|[krankhafte Erscheinung]
wdj|[D&auml;mon:] der Klopfer]|Meeks: AL 790794|[Daemon:] der Klopfer]
wdj|legen|Wb I S 385|legen
wdj|Schiffstaken|Wb I S 387|Schiffstaken
wdj-a|k&auml;mpfen|Wb I S 386|kaempfen
wdj-aDt|niedermetzeln|Wb I S 239|niedermetzeln
wdj-r-tA|auf die Erde legen, landen|Wb I S 387|auf die Erde legen, landen
wdj-rA|sprechen|Wb I S 386|sprechen
wdj-HAajt|Aufruhr anzetteln|Wb III S 30|Aufruhr anzetteln
wdj-Hr|mutig sein|Wb I S 386|mutig sein
wdj-Hr=f|Graveur(?)|Meeks: AL 771103|Graveur(?)
wdpw|Aufw&auml;rter|Wb I S 388|Aufwaerter
wdpwjt|Dienerin|Wb I S 388|Dienerin
wdf|z&ouml;gern|Wb I S 388|zoegern
wdn|(trans Verbum)|Wb I S 389|(trans Verbum)
wdn|niederwerfen (Feinde)|Wb I S 389|niederwerfen (Feinde)
wdn|festsetzen (k&ouml;nigliche Titulatur)|Wb I S 389|festsetzen (koenigliche Titulatur)
wdn|setzen (auf Thron)|Wb I S 389|setzen (auf Thron)
wdn|schwer sein, lasten|Wb I S 390|schwer sein, lasten
wdn|(Verbum von Krankheitserscheinung bei Tieren)|Wb I S 390|(Verbum von Krankheitserscheinung bei Tieren)
wdn|opfern|Wb I S 391|opfern
wdn|Opfer|Wb I S 392|Opfer
wdn|[Beh&auml;lter f&uuml;r Opferbrote]|Wb I S 392|[Behaelter fuer Opferbrote]
wdn|[Brot]|Wb I S 392|[Brot]
wdn|Affe|Wb I S 393|Affe
wdn|der Schwere = das Nilpferd|Meeks: AL 771106|der Schwere = das Nilpferd
wdnt|schwerer Steinblock|Wb I S 390|schwerer Steinblock
wdnt|Opfer|Wb I S 392|Opfer
wdnt|Opferhof|Wb I S 392|Opferhof
wdnt|[Brot]|Wb I S 393|[Brot]
wdn-nxbt|Namenreihe des K&ouml;nigs festsetzen|Wb II S 308|Namenreihe des Koenigs festsetzen
wdn-sxm=f|[Gott]|Wb I S 389|[Gott]
wdnw|Last|Wb I S 390|Last
wdnw|Gewicht an der Lotschnur|Wb I S 390|Gewicht an der Lotschnur
wdnw|Opferer|Wb I S 392|Opferer
wdnwdn|[Substantiv]|Meeks: AL 781153|[Substantiv]
wdntjj|der vom Land {wtnt}|Meeks: AL 771092|der vom Land {wtnt}
wdr|[Substantiv]|Wb I S 393|[Substantiv]
wdH|sch&uuml;tten, gie&szlig;en|Wb I S 393|schuetten, giessen
wdH|schmelzen (Metall)|Wb I S 393|schmelzen (Metall)
wdH|Libation|Meeks: AL 781156|Libation
wdH|Wasserkrug|Meeks: AL 771113; Meeks: AL 790804|Wasserkrug
wdH|kn&uuml;pfen, n&auml;hen, weben|Meeks: AL 771111|knuepfen, naehen, weben
wdHw|Spende|Wb I S 393|Spende
wdH(w)|Gie&szlig;er, Schmelzer|Meeks: AL 771112; Meeks: AL 781154; Meeks: AL 790802|Giesser, Schmelzer
wdd|Galle|Wb I S 394|Galle
wdd|kochen|Wb I S 394|kochen
wD|[Waffe zum T&ouml;ten]|Wb I S 394|[Waffe zum Toeten]
wD|befehlen|Wb I S 394|befehlen
wD|Befehl, Erla&szlig;|Wb I S 396|Befehl, Erlass
wD|Stele, Denkstein|Wb I S 398|Stele, Denkstein
wD|[Pflanze, Material f&uuml;r Seile]|Wb I S 399|[Pflanze, Material fuer Seile]
wD|[Material]|Wb I S 399|[Material]
wD|[kleines Gef&auml;&szlig;]|Wb I S 399|[kleines Gefaess]
wD|[Gew&auml;sser]|Wb I S 399|[Gewaesser]
wDt|Befehl|Wb I S 397|Befehl
wDt|[h&ouml;lzerner Schiffsteil]|Wb I S 399|[hoelzerner Schiffsteil]
wD-mdw|befehlen|Wb I S 396|befehlen
wDt-mdw|Befehl|Wb I S 396|Befehl
wD-dbH|Zahlungsanweisung|Wb V S 440|Zahlungsanweisung
wDA|unversehrt sein|Wb I S 399|unversehrt sein
wDA|Wohlergehen|Wb I S 401|Wohlergehen
wDA|Magazin|Wb I S 402|Magazin
wDA|Tempelgemach|Wb I S 402|Tempelgemach
wDA|sich begeben nach|Wb I S 403|sich begeben nach
wDAt|Horusauge|Wb I S 401|Horusauge
wDAt|Scheffelma&szlig;|Wb I S 402|Scheffelmass
wDAt|&Auml;gypten|Wb I S 402|Aegypten
wDAt|Himmel|Wb I S 402|Himmel
wDAt|[Bezeichnung f&uuml;r Tempeldach]|Wb I S 402|[Bezeichnung fuer Tempeldach]
wDAt|[Messer]|Wb I S 402|[Messer]
wDAt|Weg|Wb I S 404|Weg
wDAt|Rest|Wb I S 404|Rest
wDA-jb|froh|Wb I S 400|froh
wDA-wDA|Kollier|Meeks: AL 771133|Kollier
wDA-bA|[Titel der K&ouml;nigin]|Wb I S 402|[Titel der Koenigin]
wDA-bA|[Priesterin des Bocks von Mendes]|Wb I S 402|[Priesterin des Bocks von Mendes]
wDA-rA|verschwiegen|Wb I S 400|verschwiegen
wDAw|Heil|Wb I S 401|Heil
wDAw|Amulett, Schutzmittel|Wb I S 401|Amulett, Schutzmittel
wDAw|Ration, Zuteilung|Meeks: AL 771142|Ration, Zuteilung
wDj|senden|Wb I S 397|senden
wDj|Reise|Wb I S 398|Reise
wDj|[Fische]|Wb I S 399|[Fische]
wDjt|Ausfahrt, Reise|Wb I S 398|Ausfahrt, Reise
wDjt|Mehlgehalt des Brotes|Wb I S 399|Mehlgehalt des Brotes
wDjjw|Lotsen(?) (der Sonnenbarke)|Meeks: AL 790812|Lotsen(?) (der Sonnenbarke)
wDa|trennen, richten|Wb I S 404|trennen, richten
wDa|offenbar sein|Wb I S 406|offenbar sein
wDa|[g&ouml;ttliches Wesen]|Wb I S 406|[goettliches Wesen]
wDa|Urteil|Wb I S 407|Urteil
wDa|[Bezeichnung des Seth]|Wb I S 407|[Bezeichnung des Seth]
wDa|[Art des pzn-Brotes]|Wb I S 407|[Art des pzn-Brotes]
wDa|grauer Kranich|Wb I S 407|grauer Kranich
wDa|[Fl&ouml;te]|Wb I S 407|[Floete]
wDa|Ri&szlig;, Sprung|Meeks: AL 771135|Riss, Sprung
wDat|Messer|Wb I S 406|Messer
wDat|[Substantiv]|Wb I S 407|[Substantiv]
wDat|geschiedene Frau|Wb I S 407|geschiedene Frau
wDat|Schreiberpalette|Wb I S 407|Schreiberpalette
wDat|[Substantiv]|Meeks: AL 771135|[Substantiv]
wDawt|abgetrenntes Glied|Wb I S 407|abgetrenntes Glied
wDa-rA|Mund &ouml;ffnen|Wb I S 406|Mund oeffnen
wDa-rjt|richten in letzter Instanz|Wb I S 406|richten in letzter Instanz
wDa-xtm|Siegelzylinder bohren|Wb I S 406|Siegelzylinder bohren
wDajjw|die Richtenden|Meeks: AL 771140|die Richtenden
wDaw|[offizinell Verwendetes]|Wb I S 407|[offizinell Verwendetes]
wDaw|Bew&auml;sserungsrinne(?)|Meeks: AL 781180|Bewaesserungsrinne(?)
wDaw-nw-rjt|Eiterabsonderung|Wb I S 407|Eiterabsonderung
wDawjj-sxt|[Baum]|RdE 29 (1977) S 7; Meeks: AL 771145|[Baum]
wDw|[frei umherschweifende Rinder]|Wb I S 398|[frei umherschweifende Rinder]
wDw|[Feldfrucht]|Wb I S 407|[Feldfrucht]
wDb|Zeugstoff|Wb I S 408|Zeugstoff
wDb|sich wenden nach, etwas wenden|Wb I S 408|sich wenden nach, etwas wenden
wDb|Rente (an Naturalien)|Wb I S 409|Rente (an Naturalien)
wDb|Ufer|Wb I S 409|Ufer
wDb-jxt|opfern|Wb I S 408|opfern
wDb-a|Hand wieder hinreichen|Wb I S 408|Hand wieder hinreichen
wDf|(= {wdf}) z&ouml;gern|Wb I S 409|(= {wdf}) zoegern
wDf|[Vogel]|Wb I S 409|[Vogel]
wDn|weit|Wb I S 409|weit
wDnj|[Fl&ouml;te]|Wb I S 409|[Floete]
wDnw|Flut|Wb I S 409|Flut
wDH|entw&ouml;hnen (S&auml;ugling)|Wb I S 409|entwoehnen (Saeugling)
wDH|gerade entw&ouml;hntes Kind|Wb I S 410|gerade entwoehntes Kind
wDH|Frucht|Wb I S 410|Frucht
wDH|Frucht tragen|Wb I S 410|Frucht tragen
wDH|[Gef&auml;&szlig;]|Cerny: CED S 220|[Gefaess]
wDDt|Befehl, Befohlenes|Wb I S 395|Befehl, Befohlenes
b|(= {bw}) Ort, Stelle|Wb I S 410|(= {bw}) Ort, Stelle
b|B&ouml;ses|Wb I S 410|Boeses
b|[Bezeichnung des Seth]|Wb I S 410|[Bezeichnung des Seth]
bA|[Vogel]|Wb I S 410|[Vogel]
bA|Seele sein|Wb I S 411|Seele sein
bA|beseelen|Wb I S 411|beseelen
bA|Seele|Wb I S 411|Seele
bA|Bock|Wb I S 414|Bock
bA|Panther|Wb I S 415|Panther
bA|Leopardenfell|Wb I S 415|Leopardenfell
bA|Leopardenfellschurz|Wb I S 415|Leopardenfellschurz
bA|hacken|Wb I S 415|hacken
bA|dienen|Wb I S 416|dienen
bA|(= {bAkw}) Abgaben|Wb I S 416|(= {bAkw}) Abgaben
bA|[Krankheit am Kopf]|Wb I S 416|[Krankheit am Kopf]
bA|&lt;&lt;im Titel {Hm bA}&gt;&gt;|Meeks: AL 781198|<<im Titel {Hm bA}>>
bA|Loch|Meeks: AL 781205|Loch
bAt|Hathor|Wb I S 412|Hathor
bAt|Busch|Wb I S 416|Busch
bAt|[K&ouml;rnerfrucht]|Wb I S 416|[Koernerfrucht]
bAt|[Symbol der Hathor]|Wb I S 416|[Symbol der Hathor]
bAt|[Beischrift zu einem Kleidungsst&uuml;ck]|Wb I S 417|[Beischrift zu einem Kleidungsstueck]
bAtjjw|[Gottheiten]|Meeks: AL 781203|[Gottheiten]
bAw|&lt;&lt;im Sp&auml;t&auml;gyptischen&gt;&gt;|Green, M A: {bAw} Expressions in Late Egyptian In: Fs Fairman Warminster 1979, S 107 - 115|<<im Spaetaegyptischen>>
bAwj|beide Seelen|Wb I S 412|beide Seelen
bAwj|[Dekan]|Wb I S 413|[Dekan]
bA-jbT=f|[Gott]|Wb I S 64|[Gott]
bA-mH|Gepard|Wb I S 415|Gepard
bA-n-pt|[Bezeichnung des Amon]|Wb I S 414|[Bezeichnung des Amon]
bA-n-xmt|[Sonnengott]|Wb III S 283|[Sonnengott]
bA-nb-pt|[Bezeichnung des Amon]|Wb I S 414|[Bezeichnung des Amon]
bAtj-rpjt|[Beiname des Osiris]|Wb I S 417|[Beiname des Osiris]
bA-rmjtj|Bezeichung des Sonnengottes|Wb II S 417|Bezeichung des Sonnengottes
bA-Sma|Leopard|Wb I S 415|Leopard
bAA|Loch (einer Schlange)|Wb I S 417|Loch (einer Schlange)
bAAw|[Verb]|Meeks: AL 781212|[Verb]
bAAwt|Manneskraft|Wb I S 417|Manneskraft
bAj|[etwas E&szlig;bares aus Getreide]|Wb I S 417|[etwas Essbares aus Getreide]
bAj|[bittere Frucht]|Wb I S 417|[bittere Frucht]
bAj|feucht sein|Wb I S 417|feucht sein
bAj|[Ger&auml;t zum Fu&szlig;besprengen]|Wb I S 417|[Geraet zum Fussbesprengen]
bAj|Wasserloch|Wb I S 417|Wasserloch
bAj|[Beischrift zu Gegenst&auml;nden unklarer Form]|Wb I S 417|[Beischrift zu Gegenstaenden unklarer Form]
bAjt|ein Backwerk|Wb I S 417|ein Backwerk
bAjt|[Substantiv]|Wb I S 418|[Substantiv]
bAjt|Glanz einer Stadt|Wb I S 418|Glanz einer Stadt
bAjtj|[Beiname des Amon]|Wb I S 418|[Beiname des Amon]
bAjj|der mit einem Ba Versehene|Meeks: AL 771154|der mit einem Ba Versehene
bAjj|Pflock(?), Pfahl(?)|Meeks: AL 781222; Meeks: AL 790839|Pflock(?), Pfahl(?)
bAjjt|die zum Ba (= Osiris) Geh&ouml;rige|Meeks: AL 781194|die zum Ba (= Osiris) Gehoerige
bAjjw|die zum Ba (= Re) Geh&ouml;rigen|Meeks: AL 781189|die zum Ba (= Re) Gehoerigen
bAjw|Loch, Wasserloch|Wb I S 417|Loch, Wasserloch
bAw|Seelen, Ruhm|Wb I S 413|Seelen, Ruhm
bAw|[Schiff]|Wb I S 418|[Schiff]
bAw|[Gef&auml;&szlig; f&uuml;r Medikamente]|Wb I S 418|[Gefaess fuer Medikamente]
bAw|[Substantiv]|Wb I S 418|[Substantiv]
bAw|Feuchtigkeit des menschlichen K&ouml;rpers; Transpiration|Meeks: AL 781218|Feuchtigkeit des menschlichen Koerpers; Transpiration
bAwt|[von Abteilungen eines gro&szlig;en Sarges]|Wb I S 418|[von Abteilungen eines grossen Sarges]
bAwt|[Substantiv]|Meeks: AL 781225|[Substantiv]
bAwtjjw|die zum M&auml;chtigen (= Osiris) Geh&ouml;rigen|Meeks: AL 781190|die zum Maechtigen (= Osiris) Gehoerigen
bAwj|Kampfplatz der Stiere|Wb I S 415|Kampfplatz der Stiere
bAwj|Opferst&auml;nder|Wb I S 418|Opferstaender
bAwj|Notabeln|Wb I S 418|Notabeln
bAbA|(Verbum)|Wb I S 418|(Verbum)
